Date,Real,Predict
29/06,8,8
30/06,11,11
01/07,12,12
02/07,13,13
03/07,15,15
04/07,31,31
05/07,39,39
06/07,54,54
07/07,57,57
08/07,60,60
09/07,61,88
10/07,63,90
11/07,66,94
12/07,71,99
13/07,73,106
14/07,78,108
15/07,125,115
16/07,130,163
17/07,140,170
18/07,152,183
19/07,161,200
20/07,177,212
21/07,256,230
22/07,270,314
23/07,373,329
24/07,483,434
25/07,543,547
26/07,658,608
27/07,728,728
28/07,857,803
29/07,1056,930
30/07,1161,1129
31/07,1238,1234
01/08,1348,1311
02/08,1426,1421
03/08,1505,1499
04/08,1613,1578
05/08,1660,1686
06/08,1770,1733
07/08,1879,1843
08/08,1957,1952
09/08,2048,2030
10/08,2195,2122
11/08,2279,2269
12/08,2324,2353
13/08,2416,2399
14/08,2499,2492
15/08,2626,2575
16/08,2773,2704
17/08,2908,2851
18/08,2989,2986
19/08,3070,3068
20/08,3178,3149
21/08,3208,3258
22/08,3294,3288
23/08,3353,3377
24/08,3413,3437
25/08,3463,3499
26/08,3485,3550
27/08,3539,3572
28/08,3564,3628
29/08,3593,3716
30/08,3647,3801
31/08,3724,3887
01/09,3794,3972
02/09,3891,4060
03/09,,4150
04/09,,4245
05/09,,4347
06/09,,4455
07/09,,4572
08/09,,4700
09/09,,4838
10/09,,4988
11/09,,5150
12/09,,5325
