Date,Real,Predict
29/06,514,514
30/06,581,581
01/07,24,24
02/07,90,90
03/07,19,19
04/07,64,64
05/07,86,86
06/07,91,91
07/07,48,48
08/07,34,34
09/07,19,0
10/07,70,19
11/07,60,70
12/07,88,60
13/07,21,89
14/07,65,27
15/07,88,70
16/07,79,91
17/07,121,81
18/07,178,125
19/07,106,187
20/07,101,108
21/07,268,102
22/07,40,272
23/07,181,43
24/07,239,182
25/07,121,241
26/07,330,123
27/07,237,332
28/07,111,238
29/07,236,114
30/07,138,235
31/07,102,137
01/08,127,101
02/08,103,126
03/08,105,102
04/08,127,105
05/08,60,127
06/08,154,60
07/08,127,153
08/08,106,126
09/08,163,106
10/08,193,163
11/08,137,194
12/08,80,138
13/08,148,82
14/08,101,148
15/08,264,102
16/08,179,263
17/08,187,177
18/08,130,187
19/08,136,130
20/08,163,135
21/08,48,162
22/08,207,48
23/08,149,207
24/08,133,151
25/08,114,132
26/08,40,114
27/08,130,42
28/08,42,131
29/08,90,133
30/08,142,202
31/08,168,292
01/09,143,434
02/09,199,700
03/09,,1247
04/09,,2378
05/09,,4549
06/09,,7970
07/09,,11772
