Date,Real,Predict
29/06,394,394
30/06,340,340
01/07,303,303
02/07,208,208
03/07,132,132
04/07,173,173
05/07,205,205
06/07,295,295
07/07,289,289
08/07,291,291
09/07,305,329
10/07,291,346
11/07,213,329
12/07,248,240
13/07,347,279
14/07,328,390
15/07,344,367
16/07,409,383
17/07,393,453
18/07,385,435
19/07,395,425
20/07,461,435
21/07,423,507
22/07,478,464
23/07,519,522
24/07,580,565
25/07,527,630
26/07,595,571
27/07,618,642
28/07,655,666
29/07,669,705
30/07,770,718
31/07,747,825
01/08,776,799
02/08,721,829
03/08,727,768
04/08,697,773
05/08,674,741
06/08,692,715
07/08,828,734
08/08,932,876
09/08,1121,986
10/08,1356,1185
11/08,1514,1432
12/08,1756,1598
13/08,2082,1852
14/08,2476,2196
15/08,2710,2610
16/08,2938,2855
17/08,3081,3095
18/08,3173,3244
19/08,3228,3340
20/08,3552,3397
21/08,3587,3738
22/08,3841,3774
23/08,3983,4040
24/08,3691,4189
25/08,3394,3880
26/08,3643,3566
27/08,3432,3824
28/08,3004,3597
29/08,,3769
30/08,,3945
31/08,,4125
01/09,,4307
02/09,,4490
03/09,,4675
04/09,,4863
05/09,,5052
06/09,,5245
07/09,,5441
08/09,,5643
09/09,,5850
10/09,,6062
11/09,,6279
12/09,,6502
