Date,Real,Predict
29/06,179,179
30/06,220,220
01/07,238,238
02/07,255,255
03/07,327,327
04/07,445,445
05/07,489,489
06/07,608,608
07/07,685,685
08/07,761,761
09/07,847,2992
10/07,896,3218
11/07,980,3444
12/07,1086,3709
13/07,1269,4036
14/07,1437,4430
15/07,2209,4844
16/07,2364,5653
17/07,2608,6125
18/07,2830,6714
19/07,3139,7321
20/07,3726,8032
21/07,4905,8990
22/07,6490,10443
23/07,8536,12279
24/07,10767,14388
25/07,12654,16805
26/07,14766,18815
27/07,16721,21291
28/07,21075,23713
29/07,24926,27689
30/07,28054,31366
31/07,30879,34403
01/08,34370,37155
02/08,37574,40472
03/08,40699,43587
04/08,43475,46625
05/08,46516,49262
06/08,49339,52188
07/08,52672,54950
08/08,55495,58115
09/08,57701,60854
10/08,60665,63109
11/08,62707,65958
12/08,64856,68000
13/08,67031,70190
14/08,70448,72364
15/08,72594,75617
16/08,75310,77886
17/08,77871,80459
18/08,80162,82939
19/08,82762,85227
20/08,84980,87844
21/08,87526,90010
22/08,89268,92535
23/08,90939,94429
24/08,93010,96258
25/08,95319,98451
26/08,97440,100943
27/08,99676,103105
28/08,102319,105545
29/08,104565,110189
30/08,106937,113805
31/08,109990,116136
01/09,112689,117131
02/09,116058,117375
03/09,,117267
04/09,,117067
05/09,,116931
06/09,,116923
07/09,,117057
08/09,,117297
09/09,,117570
10/09,,117819
11/09,,118000
12/09,,118078
