Date,Real,Predict
29/06,11358,11358
30/06,12302,12302
01/07,836,836
02/07,1149,1149
03/07,550,550
04/07,461,461
05/07,473,473
06/07,710,710
07/07,1201,1201
08/07,915,915
09/07,1229,1211
10/07,1492,1285
11/07,1569,1561
12/07,1936,1606
13/07,1970,1959
14/07,2229,2059
15/07,1440,2397
16/07,2694,1681
17/07,3079,2971
18/07,3389,3316
19/07,3638,3527
20/07,3810,3736
21/07,3983,3880
22/07,4441,4042
23/07,3607,4508
24/07,4851,3673
25/07,3831,4914
26/07,6037,3945
27/07,6580,6129
28/07,3753,6628
29/07,4564,3739
30/07,4092,4534
31/07,3748,4069
01/08,4019,3749
02/08,4228,3952
03/08,4129,4161
04/08,3257,4076
05/08,3859,3224
06/08,3945,3808
07/08,3886,3932
08/08,3826,3806
09/08,3959,3754
10/08,3893,3908
11/08,3328,3782
12/08,3781,3244
13/08,3492,3691
14/08,4175,3404
15/08,4460,4015
16/08,3308,4365
17/08,3540,3191
18/08,3694,3439
19/08,4371,3601
20/08,3347,4267
21/08,4052,3310
22/08,4178,4001
23/08,4241,4123
24/08,4610,4215
25/08,5268,4538
26/08,3877,5083
27/08,5357,3709
28/08,4524,5245
29/08,4931,726
30/08,5882,497
31/08,5420,330
01/09,5330,294
02/09,5884,320
03/09,,406
04/09,,556
05/09,,636
06/09,,783
07/09,,895
08/09,,994
09/09,,1206
10/09,,1473
11/09,,1801
12/09,,2045
