Date,Real,Predict
29/06,16,16
30/06,22,22
01/07,24,24
02/07,25,25
03/07,31,31
04/07,87,87
05/07,92,92
06/07,95,95
07/07,97,97
08/07,98,98
09/07,101,165
10/07,105,170
11/07,109,178
12/07,114,185
13/07,119,192
14/07,133,199
15/07,177,219
16/07,178,264
17/07,183,265
18/07,190,272
19/07,194,282
20/07,211,287
21/07,271,308
22/07,313,371
23/07,529,415
24/07,642,634
25/07,785,751
26/07,933,898
27/07,1014,1055
28/07,1056,1142
29/07,1276,1184
30/07,1408,1403
31/07,1520,1535
01/08,1834,1648
02/08,2064,1960
03/08,2239,2190
04/08,2447,2365
05/08,2577,2572
06/08,2676,2702
07/08,2818,2802
08/08,2946,2943
09/08,3037,3071
10/08,3176,3164
11/08,3253,3302
12/08,3351,3380
13/08,3459,3479
14/08,3553,3588
15/08,3710,3682
16/08,3822,3843
17/08,3965,3954
18/08,4108,4097
19/08,4232,4241
20/08,4349,4366
21/08,4481,4484
22/08,4496,4617
23/08,4646,4632
24/08,4712,4788
25/08,4880,4856
26/08,4993,5030
27/08,5105,5144
28/08,5254,5260
29/08,5388,5408
30/08,5463,5547
31/08,5599,5677
01/09,5708,5800
02/09,5838,5918
03/09,,6031
04/09,,6142
05/09,,6251
06/09,,6359
07/09,,6467
08/09,,6577
09/09,,6688
10/09,,6801
11/09,,6916
12/09,,7034
