Date,Real,Predict
29/06,76,76
30/06,64,64
01/07,54,54
02/07,50,50
03/07,42,42
04/07,11,11
05/07,12,12
06/07,16,16
07/07,25,25
08/07,25,25
09/07,26,39
10/07,29,41
11/07,26,46
12/07,20,40
13/07,27,31
14/07,27,42
15/07,19,42
16/07,28,30
17/07,26,43
18/07,24,39
19/07,28,36
20/07,34,43
21/07,32,51
22/07,38,48
23/07,39,57
24/07,37,58
25/07,34,56
26/07,28,51
27/07,37,41
28/07,46,55
29/07,46,68
30/07,47,67
31/07,47,69
01/08,30,68
02/08,15,43
03/08,13,21
04/08,10,18
05/08,11,15
06/08,11,16
07/08,14,16
08/08,15,20
09/08,20,22
10/08,35,30
11/08,55,50
12/08,90,80
13/08,128,130
14/08,160,186
15/08,178,232
16/08,195,258
17/08,160,281
18/08,160,232
19/08,147,231
20/08,191,213
21/08,186,275
22/08,223,269
23/08,228,321
24/08,228,328
25/08,184,328
26/08,190,264
27/08,171,273
28/08,137,245
29/08,,349
30/08,,492
31/08,,690
01/09,,963
02/09,,1337
03/09,,1845
04/09,,2532
05/09,,3453
06/09,,4680
07/09,,6295
08/09,,8395
09/09,,11079
10/09,,14436
11/09,,18527
12/09,,23349
