Date,Real,Predict
29/06,1218,1218
30/06,1351,1351
01/07,79,79
02/07,67,67
03/07,45,45
04/07,218,218
05/07,57,57
06/07,16,16
07/07,38,38
08/07,11,11
09/07,47,-2
10/07,126,46
11/07,77,135
12/07,83,82
13/07,49,82
14/07,180,52
15/07,83,188
16/07,23,83
17/07,61,34
18/07,105,69
19/07,43,110
20/07,109,52
21/07,202,112
22/07,119,219
23/07,381,133
24/07,246,384
25/07,290,250
26/07,424,293
27/07,274,427
28/07,36,277
29/07,261,41
30/07,173,261
31/07,149,174
01/08,361,150
02/08,303,359
03/08,231,299
04/08,244,225
05/08,165,239
06/08,138,162
07/08,165,135
08/08,174,161
09/08,163,170
10/08,183,160
11/08,125,180
12/08,172,124
13/08,173,170
14/08,115,171
15/08,327,113
16/08,136,323
17/08,197,134
18/08,231,193
19/08,208,227
20/08,177,205
21/08,210,175
22/08,35,207
23/08,381,36
24/08,146,377
25/08,384,144
26/08,207,381
27/08,268,208
28/08,255,268
29/08,293,51
30/08,118,43
31/08,233,35
01/09,246,29
02/09,228,21
03/09,,14
04/09,,6
05/09,,0
06/09,,-4
07/09,,-7
08/09,,-10
09/09,,-12
10/09,,-13
11/09,,-12
12/09,,-10
