Date,Real,Predict
29/06,489,489
30/06,514,514
01/07,8,8
02/07,80,80
03/07,37,37
04/07,128,128
05/07,90,90
06/07,94,94
07/07,255,255
08/07,36,36
09/07,7,-4
10/07,32,12
11/07,10,34
12/07,77,8
13/07,41,76
14/07,124,38
15/07,77,122
16/07,91,74
17/07,60,91
18/07,99,61
19/07,174,101
20/07,93,176
21/07,74,93
22/07,116,72
23/07,189,113
24/07,347,183
25/07,31,339
26/07,234,34
27/07,49,231
28/07,226,49
29/07,223,210
30/07,228,212
31/07,50,218
01/08,379,47
02/08,279,360
03/08,193,264
04/08,24,182
05/08,183,23
06/08,87,175
07/08,134,84
08/08,117,129
09/08,105,113
10/08,66,101
11/08,53,65
12/08,288,52
13/08,44,279
14/08,256,42
15/08,159,246
16/08,28,155
17/08,169,25
18/08,17,163
19/08,317,17
20/08,116,305
21/08,153,112
22/08,34,149
23/08,142,35
24/08,103,149
25/08,203,115
26/08,33,194
27/08,362,26
28/08,217,349
29/08,539,-175
30/08,226,-190
31/08,311,-195
01/09,459,-189
02/09,507,-189
03/09,,-188
04/09,,-183
05/09,,-178
06/09,,-170
07/09,,-157
08/09,,-142
09/09,,-125
10/09,,-104
11/09,,-78
12/09,,-49
