Date,Real,Predict
29/06,1,1
30/06,1,1
01/07,1,1
02/07,1,1
03/07,1,1
04/07,2,2
05/07,3,3
06/07,4,4
07/07,5,5
08/07,5,5
09/07,5,6
10/07,5,6
11/07,5,6
12/07,6,6
13/07,7,7
14/07,8,8
15/07,9,9
16/07,10,10
17/07,11,11
18/07,12,12
19/07,13,13
20/07,14,14
21/07,15,15
22/07,16,16
23/07,19,18
24/07,23,21
25/07,24,25
26/07,27,26
27/07,28,29
28/07,35,30
29/07,41,37
30/07,48,43
31/07,49,50
01/08,66,51
02/08,77,68
03/08,85,79
04/08,87,87
05/08,97,89
06/08,102,99
07/08,108,104
08/08,115,110
09/08,122,117
10/08,127,124
11/08,131,129
12/08,148,133
13/08,151,150
14/08,168,153
15/08,178,171
16/08,181,181
17/08,195,184
18/08,196,198
19/08,218,199
20/08,229,221
21/08,239,232
22/08,242,242
23/08,253,245
24/08,260,256
25/08,270,263
26/08,272,273
27/08,291,275
28/08,304,294
29/08,326,298
30/08,335,301
31/08,355,305
01/09,378,308
02/09,395,311
03/09,,314
04/09,,317
05/09,,320
06/09,,324
07/09,,327
08/09,,331
09/09,,334
10/09,,338
11/09,,341
12/09,,345
