Date,Real,Predict
29/06,11,11
30/06,12,12
01/07,12,12
02/07,13,13
03/07,18,18
04/07,51,51
05/07,59,59
06/07,75,75
07/07,91,91
08/07,94,94
09/07,94,167
10/07,95,167
11/07,96,170
12/07,100,172
13/07,104,180
14/07,113,187
15/07,154,203
16/07,159,245
17/07,164,256
18/07,170,264
19/07,185,276
20/07,199,301
21/07,221,320
22/07,262,345
23/07,369,389
24/07,529,499
25/07,544,666
26/07,626,682
27/07,641,772
28/07,903,788
29/07,1091,1040
30/07,1265,1225
31/07,1303,1397
01/08,1632,1435
02/08,1843,1757
03/08,1989,1966
04/08,2009,2111
05/08,2153,2131
06/08,2215,2273
07/08,2330,2335
08/08,2416,2447
09/08,2475,2532
10/08,2525,2592
11/08,2558,2642
12/08,2722,2675
13/08,2749,2841
14/08,2959,2869
15/08,3036,3075
16/08,3059,3154
17/08,3181,3177
18/08,3192,3298
19/08,3381,3309
20/08,3458,3500
21/08,3554,3576
22/08,3568,3673
23/08,3624,3687
24/08,3670,3746
25/08,3759,3794
26/08,3777,3887
27/08,3928,3905
28/08,4055,4065
29/08,4248,4203
30/08,4331,4340
31/08,4512,4476
01/09,4717,4610
02/09,4988,4739
03/09,,4863
04/09,,4980
05/09,,5091
06/09,,5194
07/09,,5291
08/09,,5383
09/09,,5469
10/09,,5551
11/09,,5630
12/09,,5705
