Date,Real,Predict
29/06,50,50
30/06,60,60
01/07,62,62
02/07,52,52
03/07,48,48
04/07,25,25
05/07,12,12
06/07,11,11
07/07,9,9
08/07,6,6
09/07,6,21
10/07,5,20
11/07,6,17
12/07,10,18
13/07,12,29
14/07,12,35
15/07,16,36
16/07,18,48
17/07,19,51
18/07,21,55
19/07,22,60
20/07,23,62
21/07,22,62
22/07,19,58
23/07,20,51
24/07,24,52
25/07,18,61
26/07,23,47
27/07,26,57
28/07,26,63
29/07,22,64
30/07,24,52
31/07,20,57
01/08,14,46
02/08,9,33
03/08,9,21
04/08,7,21
05/08,6,17
06/08,7,15
07/08,20,17
08/08,21,46
09/08,36,47
10/08,42,82
11/08,43,94
12/08,47,96
13/08,49,105
14/08,91,109
15/08,93,201
16/08,114,204
17/08,102,248
18/08,118,221
19/08,69,256
20/08,88,148
21/08,68,189
22/08,110,146
23/08,102,233
24/08,111,211
25/08,99,222
26/08,148,195
27/08,142,287
28/08,153,271
29/08,,517
30/08,,976
31/08,,1816
01/09,,3297
02/09,,5717
03/09,,9151
04/09,,12932
05/09,,15615
06/09,,16588
07/09,,16746
08/09,,16752
09/09,,16740
10/09,,16725
11/09,,16711
12/09,,16699
