Date,Real,Predict
29/06,0,0
30/06,1,1
01/07,2,2
02/07,3,3
03/07,3,3
04/07,19,19
05/07,28,28
06/07,28,28
07/07,28,28
08/07,28,28
09/07,28,80
10/07,29,81
11/07,32,85
12/07,37,95
13/07,37,112
14/07,42,112
15/07,93,125
16/07,96,177
17/07,96,187
18/07,100,187
19/07,104,198
20/07,111,208
21/07,121,219
22/07,137,232
23/07,173,250
24/07,207,285
25/07,210,321
26/07,225,324
27/07,242,342
28/07,287,362
29/07,318,401
30/07,342,429
31/07,414,451
01/08,464,518
02/08,518,563
03/08,561,613
04/08,606,652
05/08,650,693
06/08,661,733
07/08,670,743
08/08,682,751
09/08,688,762
10/08,766,768
11/08,772,839
12/08,849,845
13/08,865,920
14/08,936,935
15/08,973,999
16/08,1030,1037
17/08,1050,1088
18/08,1142,1107
19/08,1191,1195
20/08,1244,1242
21/08,1309,1292
22/08,1359,1354
23/08,1377,1406
24/08,1448,1426
25/08,1506,1499
26/08,1568,1560
27/08,1644,1621
28/08,1653,1702
29/08,1697,1724
30/08,1718,1717
31/08,1786,1687
01/09,1820,1639
02/09,1918,1577
03/09,,1506
04/09,,1430
05/09,,1354
06/09,,1284
07/09,,1227
08/09,,1188
09/09,,1168
10/09,,1163
11/09,,1169
12/09,,1185
