Date,Real,Predict
29/06,39,39
30/06,54,54
01/07,48,48
02/07,30,30
03/07,29,29
04/07,18,18
05/07,0,0
06/07,5,5
07/07,6,6
08/07,6,6
09/07,8,26
10/07,8,31
11/07,3,32
12/07,3,14
13/07,4,13
14/07,3,15
15/07,2,10
16/07,2,8
17/07,3,7
18/07,3,11
19/07,5,9
20/07,6,15
21/07,5,18
22/07,5,17
23/07,4,14
24/07,5,13
25/07,4,16
26/07,21,13
27/07,20,59
28/07,21,57
29/07,18,57
30/07,19,50
31/07,2,51
01/08,3,7
02/08,3,9
03/08,4,9
04/08,4,11
05/08,4,11
06/08,4,12
07/08,9,11
08/08,11,25
09/08,14,30
10/08,16,38
11/08,27,43
12/08,27,71
13/08,53,70
14/08,65,136
15/08,79,168
16/08,87,201
17/08,104,222
18/08,83,265
19/08,98,212
20/08,106,247
21/08,105,268
22/08,116,263
23/08,110,291
24/08,82,268
25/08,57,187
26/08,44,130
27/08,17,99
28/08,20,38
29/08,,86
30/08,,195
31/08,,447
01/09,,1031
02/09,,2364
03/09,,5216
04/09,,10328
05/09,,15936
06/09,,16955
07/09,,16997
08/09,,17498
09/09,,17741
10/09,,18118
11/09,,18407
12/09,,18744
