Date,Real,Predict
29/06,105,105
30/06,126,126
01/07,36,36
02/07,96,96
03/07,1,1
04/07,61,61
05/07,101,101
06/07,0,0
07/07,0,0
08/07,0,0
09/07,2,0
10/07,21,2
11/07,56,21
12/07,96,56
13/07,2,95
14/07,64,16
15/07,96,72
16/07,55,112
17/07,4,65
18/07,55,19
19/07,47,59
20/07,46,41
21/07,33,55
22/07,44,26
23/07,64,41
24/07,75,56
25/07,7,73
26/07,44,2
27/07,58,43
28/07,39,61
29/07,37,32
30/07,32,35
31/07,95,30
01/08,57,87
02/08,71,54
03/08,57,64
04/08,53,53
05/08,56,48
06/08,15,53
07/08,11,15
08/08,16,9
09/08,11,14
10/08,103,9
11/08,9,99
12/08,136,8
13/08,26,131
14/08,87,24
15/08,76,82
16/08,70,73
17/08,28,66
18/08,148,27
19/08,83,140
20/08,80,80
21/08,104,76
22/08,120,100
23/08,46,117
24/08,159,57
25/08,132,188
26/08,113,127
27/08,183,109
28/08,15,180
29/08,130,-6
30/08,78,-36
31/08,184,-55
01/09,72,-31
02/09,210,16
