Date,Real,Predict
29/06,8,8
30/06,9,9
01/07,10,10
02/07,11,11
03/07,24,24
04/07,37,37
05/07,42,42
06/07,45,45
07/07,45,45
08/07,51,51
09/07,53,132
10/07,54,137
11/07,60,141
12/07,63,160
13/07,72,170
14/07,76,189
15/07,107,198
16/07,117,230
17/07,128,258
18/07,145,284
19/07,157,329
20/07,215,357
21/07,280,449
22/07,318,526
23/07,387,569
24/07,439,638
25/07,696,692
26/07,818,956
27/07,998,1094
28/07,1239,1308
29/07,1649,1521
30/07,1806,1901
31/07,1893,2048
01/08,1961,2130
02/08,1980,2193
03/08,2025,2211
04/08,2079,2253
05/08,2265,2303
06/08,2387,2477
07/08,2662,2593
08/08,2821,2846
09/08,3003,2996
10/08,3030,3176
11/08,3178,3201
12/08,3208,3345
13/08,3427,3375
14/08,3589,3587
15/08,3733,3737
16/08,3910,3884
17/08,4021,4047
18/08,4162,4152
19/08,4407,4288
20/08,4628,4528
21/08,4801,4739
22/08,4857,4906
23/08,4913,4965
24/08,5021,5025
25/08,5125,5138
26/08,5146,5248
27/08,5155,5269
28/08,5226,5280
29/08,5277,5379
30/08,5535,5457
31/08,5809,5515
01/09,6066,5550
02/09,6369,5563
03/09,,5553
04/09,,5525
05/09,,5482
06/09,,5429
07/09,,5368
08/09,,5300
09/09,,5228
10/09,,5152
11/09,,5076
12/09,,4998
