Date,Real,Predict
29/06,28,28
30/06,23,23
01/07,26,26
02/07,28,28
03/07,27,27
04/07,18,18
05/07,20,20
06/07,20,20
07/07,15,15
08/07,14,14
09/07,15,20
10/07,11,22
11/07,10,16
12/07,10,14
13/07,15,15
14/07,14,21
15/07,15,19
16/07,16,21
17/07,15,22
18/07,14,21
19/07,15,19
20/07,16,21
21/07,15,22
22/07,19,21
23/07,20,26
24/07,25,28
25/07,21,34
26/07,23,29
27/07,22,32
28/07,23,30
29/07,17,32
30/07,21,24
31/07,17,29
01/08,15,23
02/08,11,20
03/08,11,15
04/08,10,15
05/08,10,13
06/08,11,14
07/08,10,15
08/08,13,14
09/08,14,18
10/08,18,20
11/08,19,25
12/08,46,25
13/08,68,63
14/08,91,92
15/08,93,124
16/08,116,127
17/08,142,158
18/08,126,193
19/08,120,171
20/08,168,162
21/08,155,227
22/08,170,209
23/08,164,229
24/08,156,221
25/08,116,210
26/08,142,155
27/08,105,191
28/08,122,141
29/08,,188
30/08,,248
31/08,,324
01/09,,421
02/09,,543
03/09,,695
04/09,,885
05/09,,1119
06/09,,1406
07/09,,1756
08/09,,2179
09/09,,2687
10/09,,3292
11/09,,4008
12/09,,4846
