Date,Real,Predict
29/06,563,563
30/06,573,573
01/07,11,11
02/07,76,76
03/07,159,159
04/07,137,137
05/07,56,56
06/07,70,70
07/07,82,82
08/07,166,166
09/07,78,1
10/07,5,93
11/07,21,14
12/07,23,32
13/07,139,52
14/07,76,159
15/07,23,96
16/07,305,20
17/07,439,314
18/07,424,450
19/07,142,442
20/07,229,157
21/07,753,237
22/07,536,713
23/07,247,497
24/07,464,220
25/07,364,419
26/07,249,308
27/07,777,217
28/07,128,706
29/07,275,70
30/07,530,193
31/07,36,417
01/08,97,7
02/08,86,64
03/08,93,62
04/08,173,72
05/08,132,137
06/08,97,107
07/08,100,80
08/08,40,81
09/08,47,33
10/08,52,42
11/08,73,49
12/08,58,64
13/08,70,51
14/08,63,60
15/08,71,51
16/08,101,63
17/08,62,83
18/08,54,53
19/08,235,46
20/08,54,205
21/08,163,49
22/08,19,142
23/08,198,20
24/08,387,183
25/08,354,359
26/08,39,337
27/08,94,63
28/08,11,114
29/08,41,-782
30/08,88,-782
31/08,214,-773
01/09,111,-754
02/09,289,-727
03/09,,-686
04/09,,-637
05/09,,-582
06/09,,-517
07/09,,-454
08/09,,-399
09/09,,-349
10/09,,-305
11/09,,-262
12/09,,-224
