Date,Real,Predict
29/06,7,7
30/06,12,12
01/07,13,13
02/07,13,13
03/07,14,14
04/07,38,38
05/07,40,40
06/07,42,42
07/07,43,43
08/07,44,44
09/07,50,129
10/07,53,144
11/07,55,156
12/07,55,162
13/07,56,163
14/07,64,165
15/07,68,183
16/07,74,187
17/07,79,203
18/07,91,213
19/07,96,243
20/07,120,255
21/07,146,292
22/07,222,323
23/07,258,410
24/07,365,447
25/07,417,561
26/07,478,616
27/07,507,686
28/07,622,721
29/07,841,826
30/07,944,1035
31/07,959,1135
01/08,1055,1149
02/08,1159,1240
03/08,1233,1340
04/08,1371,1412
05/08,1406,1542
06/08,1564,1576
07/08,1655,1729
08/08,1745,1815
09/08,1849,1902
10/08,2007,2008
11/08,2090,2159
12/08,2179,2241
13/08,2350,2331
14/08,2607,2501
15/08,2683,2745
16/08,2846,2824
17/08,3086,2979
18/08,3217,3211
19/08,3388,3341
20/08,3510,3511
21/08,3715,3630
22/08,3773,3833
23/08,3893,3896
24/08,4013,4026
25/08,4245,4153
26/08,4480,4401
27/08,4700,4639
28/08,4762,4876
29/08,4991,5036
30/08,5335,5181
31/08,5576,5311
01/09,5772,5430
02/09,6051,5540
03/09,,5645
04/09,,5750
05/09,,5867
06/09,,6017
07/09,,6227
08/09,,6531
09/09,,6956
10/09,,7507
11/09,,8175
12/09,,8937
