Date,Real,Predict
29/06,503,503
30/06,608,608
01/07,44,44
02/07,12,12
03/07,11,11
04/07,94,94
05/07,20,20
06/07,10,10
07/07,12,12
08/07,8,8
09/07,89,11
10/07,82,92
11/07,43,83
12/07,8,49
13/07,10,17
14/07,106,25
15/07,8,125
16/07,100,39
17/07,64,122
18/07,182,110
19/07,61,186
20/07,155,59
21/07,87,158
22/07,213,94
23/07,63,223
24/07,233,63
25/07,105,227
26/07,174,100
27/07,98,167
28/07,99,96
29/07,259,89
30/07,135,239
31/07,20,125
01/08,110,17
02/08,137,101
03/08,98,126
04/08,162,90
05/08,44,148
06/08,221,40
07/08,106,206
08/08,122,97
09/08,187,113
10/08,207,177
11/08,136,191
12/08,156,127
13/08,274,147
14/08,314,257
15/08,157,288
16/08,199,149
17/08,332,183
18/08,212,308
19/08,287,199
20/08,184,269
21/08,327,173
22/08,140,318
23/08,304,133
24/08,268,317
25/08,529,254
26/08,429,512
27/08,528,412
28/08,106,512
29/08,651,-184
30/08,826,-175
31/08,569,-126
01/09,479,32
02/09,524,547
