Date,Real,Predict
29/06,0,0
30/06,0,0
01/07,0,0
02/07,0,0
03/07,0,0
04/07,1,1
05/07,1,1
06/07,1,1
07/07,1,1
08/07,1,1
09/07,2,2
10/07,3,3
11/07,3,4
12/07,3,5
13/07,3,5
14/07,4,5
15/07,4,6
16/07,5,6
17/07,6,7
18/07,8,8
19/07,8,10
20/07,9,11
21/07,10,12
22/07,12,13
23/07,13,15
24/07,16,16
25/07,18,19
26/07,20,22
27/07,21,24
28/07,24,25
29/07,31,28
30/07,35,35
31/07,36,39
01/08,41,40
02/08,47,45
03/08,51,51
04/08,62,55
05/08,64,66
06/08,76,68
07/08,81,80
08/08,88,85
09/08,101,92
10/08,117,106
11/08,128,122
12/08,137,133
13/08,154,142
14/08,175,159
15/08,185,180
16/08,204,190
17/08,231,209
18/08,246,236
19/08,266,252
20/08,283,272
21/08,305,289
22/08,316,311
23/08,340,322
24/08,357,347
25/08,384,364
26/08,411,391
27/08,439,419
28/08,445,447
29/08,471,455
30/08,507,463
31/08,533,470
01/09,555,476
02/09,573,483
03/09,,488
04/09,,494
05/09,,499
06/09,,504
07/09,,509
08/09,,514
09/09,,519
10/09,,523
11/09,,528
12/09,,532
