Date,Real,Predict
29/06,609,609
30/06,647,647
01/07,49,49
02/07,112,112
03/07,23,23
04/07,40,40
05/07,125,125
06/07,4,4
07/07,36,36
08/07,13,13
09/07,12,-2
10/07,30,16
11/07,18,34
12/07,111,20
13/07,25,113
14/07,55,30
15/07,111,61
16/07,95,112
17/07,67,99
18/07,97,73
19/07,114,95
20/07,19,114
21/07,140,17
22/07,91,133
23/07,74,86
24/07,61,67
25/07,147,55
26/07,196,142
27/07,202,193
28/07,35,196
29/07,254,33
30/07,98,236
31/07,134,87
01/08,217,113
02/08,186,184
03/08,157,157
04/08,176,133
05/08,148,152
06/08,150,129
07/08,196,141
08/08,192,180
09/08,124,177
10/08,140,117
11/08,165,129
12/08,188,154
13/08,179,175
14/08,140,166
15/08,222,126
16/08,117,210
17/08,133,106
18/08,153,122
19/08,168,143
20/08,169,157
21/08,102,150
22/08,286,104
23/08,230,303
24/08,97,247
25/08,259,115
26/08,33,264
27/08,291,33
28/08,41,273
29/08,286,-320
30/08,311,-334
31/08,187,-352
01/09,371,-371
02/09,333,-386
03/09,,-389
04/09,,-372
05/09,,-348
06/09,,-324
07/09,,-302
08/09,,-282
09/09,,-263
10/09,,-244
11/09,,-226
12/09,,-208
