Date,Real,Predict
29/06,0,0
30/06,0,0
01/07,0,0
02/07,0,0
03/07,0,0
04/07,0,0
05/07,2,2
06/07,2,2
07/07,2,2
08/07,2,2
09/07,2,3
10/07,2,3
11/07,2,3
12/07,3,3
13/07,3,4
14/07,3,4
15/07,4,4
16/07,5,5
17/07,6,6
18/07,7,8
19/07,8,9
20/07,8,10
21/07,10,10
22/07,11,12
23/07,12,13
24/07,13,14
25/07,16,15
26/07,18,18
27/07,20,20
28/07,21,23
29/07,27,24
30/07,30,30
31/07,34,33
01/08,43,37
02/08,51,46
03/08,57,54
04/08,69,60
05/08,77,72
06/08,85,80
07/08,94,88
08/08,106,97
09/08,114,109
10/08,125,117
11/08,138,128
12/08,149,141
13/08,160,152
14/08,170,163
15/08,184,173
16/08,195,188
17/08,206,199
18/08,217,210
19/08,229,221
20/08,245,233
21/08,252,249
22/08,274,256
23/08,292,278
24/08,298,296
25/08,311,302
26/08,313,315
27/08,329,317
28/08,331,334
29/08,345,339
30/08,357,344
31/08,370,349
01/09,386,354
02/09,398,358
03/09,,363
04/09,,368
05/09,,372
06/09,,377
07/09,,381
08/09,,385
09/09,,390
10/09,,394
11/09,,398
12/09,,402
