Date,Real,Predict
29/06,39,39
30/06,57,57
01/07,55,55
02/07,36,36
03/07,33,33
04/07,26,26
05/07,6,6
06/07,7,7
07/07,5,5
08/07,5,5
09/07,8,9
10/07,6,15
11/07,6,12
12/07,9,11
13/07,14,18
14/07,12,27
15/07,13,22
16/07,13,23
17/07,10,23
18/07,9,18
19/07,12,16
20/07,17,20
21/07,17,30
22/07,18,29
23/07,15,31
24/07,17,26
25/07,10,28
26/07,12,18
27/07,12,19
28/07,13,20
29/07,12,22
30/07,14,19
31/07,14,23
01/08,17,23
02/08,17,27
03/08,16,27
04/08,16,25
05/08,17,26
06/08,18,27
07/08,23,30
08/08,46,37
09/08,65,74
10/08,85,104
11/08,98,136
12/08,106,156
13/08,99,169
14/08,102,157
15/08,104,163
16/08,104,165
17/08,135,165
18/08,163,214
19/08,156,258
20/08,164,246
21/08,150,257
22/08,160,234
23/08,123,244
24/08,125,185
25/08,115,185
26/08,149,169
27/08,111,216
28/08,125,160
29/08,,235
30/08,,351
31/08,,533
01/09,,822
02/09,,1284
03/09,,2024
04/09,,3221
05/09,,5143
06/09,,8192
07/09,,12911
08/09,,19880
09/09,,29398
10/09,,40998
11/09,,52863
12/09,,62412
