Date,Real,Predict
29/06,8,8
30/06,10,10
01/07,11,11
02/07,13,13
03/07,16,16
04/07,26,26
05/07,38,38
06/07,39,39
07/07,41,41
08/07,42,42
09/07,43,175
10/07,44,177
11/07,45,182
12/07,51,185
13/07,53,205
14/07,57,209
15/07,117,220
16/07,122,281
17/07,127,298
18/07,133,311
19/07,143,329
20/07,146,352
21/07,187,357
22/07,219,407
23/07,261,444
24/07,289,487
25/07,361,517
26/07,430,592
27/07,490,672
28/07,531,746
29/07,745,782
30/07,820,982
31/07,921,1053
01/08,1109,1150
02/08,1250,1324
03/08,1369,1458
04/08,1519,1572
05/08,1636,1711
06/08,1743,1821
07/08,1911,1923
08/08,2053,2079
09/08,2122,2214
10/08,2229,2283
11/08,2330,2384
12/08,2437,2483
13/08,2548,2590
14/08,2663,2699
15/08,2770,2806
16/08,2866,2918
17/08,2962,3007
18/08,3057,3098
19/08,3157,3191
20/08,3269,3290
21/08,3333,3397
22/08,3452,3459
23/08,3543,3586
24/08,3587,3684
25/08,3701,3730
26/08,3719,3851
27/08,3840,3870
28/08,3864,4001
29/08,3985,4143
30/08,4098,4270
31/08,4219,4382
01/09,4363,4476
02/09,4556,4555
03/09,,4618
04/09,,4667
05/09,,4703
06/09,,4729
07/09,,4746
08/09,,4757
09/09,,4763
10/09,,4766
11/09,,4766
12/09,,4765
