Date,Real,Predict
29/06,0,0
30/06,0,0
01/07,0,0
02/07,1,1
03/07,1,1
04/07,2,2
05/07,6,6
06/07,6,6
07/07,6,6
08/07,6,6
09/07,7,9
10/07,8,10
11/07,9,12
12/07,11,13
13/07,14,15
14/07,15,19
15/07,17,20
16/07,18,22
17/07,18,23
18/07,22,24
19/07,23,28
20/07,23,29
21/07,27,30
22/07,31,34
23/07,33,38
24/07,36,40
25/07,37,44
26/07,40,45
27/07,44,48
28/07,44,52
29/07,52,52
30/07,66,60
31/07,67,74
01/08,77,75
02/08,84,86
03/08,86,93
04/08,88,95
05/08,137,97
06/08,138,146
07/08,158,147
08/08,170,167
09/08,176,179
10/08,190,185
11/08,207,199
12/08,214,216
13/08,226,223
14/08,239,235
15/08,250,248
16/08,271,260
17/08,290,281
18/08,306,300
19/08,323,316
20/08,343,333
21/08,358,353
22/08,371,368
23/08,387,381
24/08,403,397
25/08,420,414
26/08,434,431
27/08,453,445
28/08,459,464
29/08,475,477
30/08,488,489
31/08,501,502
01/09,506,515
02/09,525,528
03/09,,542
04/09,,555
05/09,,569
06/09,,583
07/09,,597
08/09,,611
09/09,,626
10/09,,640
11/09,,654
12/09,,668
