Date,Real,Predict
29/06,945,945
30/06,1127,1127
01/07,61,61
02/07,353,353
03/07,193,193
04/07,221,221
05/07,276,276
06/07,40,40
07/07,42,42
08/07,42,42
09/07,135,275
10/07,148,459
11/07,104,204
12/07,249,109
13/07,189,309
14/07,234,276
15/07,249,313
16/07,222,300
17/07,26,161
18/07,369,-19
19/07,231,383
20/07,82,227
21/07,243,80
22/07,333,222
23/07,147,310
24/07,271,124
25/07,39,246
26/07,223,36
27/07,340,208
28/07,14,310
29/07,301,148
30/07,429,299
31/07,43,350
01/08,230,53
02/08,180,213
03/08,42,176
04/08,37,69
05/08,873,27
06/08,22,722
07/08,410,-2
08/08,202,335
09/08,92,170
10/08,180,77
11/08,214,159
12/08,122,196
13/08,194,116
14/08,188,175
15/08,168,156
16/08,216,153
17/08,230,183
18/08,227,200
19/08,235,203
20/08,219,211
21/08,218,213
22/08,173,227
23/08,198,153
24/08,257,202
25/08,342,305
26/08,225,335
27/08,355,232
28/08,98,355
29/08,384,256
30/08,325,197
31/08,220,113
01/09,22,-22
02/09,583,-191
03/09,,-370
04/09,,-525
05/09,,-632
06/09,,-723
07/09,,-777
08/09,,-719
09/09,,-652
10/09,,-583
11/09,,-512
12/09,,-443
