Date,Real,Predict
29/06,13,13
30/06,21,21
01/07,22,22
02/07,27,27
03/07,52,52
04/07,109,109
05/07,135,135
06/07,142,142
07/07,145,145
08/07,148,148
09/07,157,371
10/07,162,393
11/07,168,415
12/07,182,431
13/07,200,470
14/07,218,504
15/07,351,544
16/07,364,676
17/07,366,710
18/07,390,715
19/07,410,774
20/07,423,815
21/07,495,834
22/07,614,917
23/07,697,1047
24/07,822,1129
25/07,841,1257
26/07,919,1276
27/07,1020,1361
28/07,1036,1478
29/07,1290,1493
30/07,1618,1725
31/07,1650,2030
01/08,1850,2060
02/08,1986,2243
03/08,2018,2369
04/08,2050,2399
05/08,2738,2428
06/08,2754,3063
07/08,3106,3077
08/08,3255,3398
09/08,3306,3537
10/08,3443,3586
11/08,3574,3713
12/08,3643,3838
13/08,3764,3905
14/08,3918,4021
15/08,3999,4162
16/08,4176,4243
17/08,4342,4404
18/08,4483,4559
19/08,4623,4693
20/08,4768,4828
21/08,4905,4964
22/08,4977,5094
23/08,5055,5168
24/08,5170,5249
25/08,5320,5365
26/08,5443,5518
27/08,5591,5638
28/08,5648,5791
29/08,5789,5973
30/08,5919,6140
31/08,6038,6293
01/09,6083,6434
02/09,6373,6560
03/09,,6674
04/09,,6782
05/09,,6890
06/09,,6999
07/09,,7114
08/09,,7235
09/09,,7358
10/09,,7481
11/09,,7604
12/09,,7724
