Date,Real,Predict
29/06,159,159
30/06,177,177
01/07,170,170
02/07,127,127
03/07,91,91
04/07,56,56
05/07,14,14
06/07,25,25
07/07,28,28
08/07,29,29
09/07,25,69
10/07,28,61
11/07,19,64
12/07,18,45
13/07,19,42
14/07,16,43
15/07,15,36
16/07,13,33
17/07,11,29
18/07,25,25
19/07,24,56
20/07,27,53
21/07,25,59
22/07,36,55
23/07,21,78
24/07,24,46
25/07,31,53
26/07,33,67
27/07,24,72
28/07,27,53
29/07,27,52
30/07,16,49
31/07,19,29
01/08,18,34
02/08,19,32
03/08,20,33
04/08,21,34
05/08,20,36
06/08,22,34
07/08,30,38
08/08,35,52
09/08,43,59
10/08,40,72
11/08,38,66
12/08,32,63
13/08,35,52
14/08,38,58
15/08,62,63
16/08,84,102
17/08,102,137
18/08,127,166
19/08,139,206
20/08,164,224
21/08,184,261
22/08,188,285
23/08,169,292
24/08,159,255
25/08,139,220
26/08,128,185
27/08,124,160
28/08,121,144
29/08,,187
30/08,,263
31/08,,398
01/09,,641
02/09,,1093
03/09,,1957
04/09,,3647
05/09,,7002
06/09,,13630
07/09,,26146
08/09,,46971
09/09,,72316
10/09,,87343
11/09,,90068
12/09,,93808
