Date,Real,Predict
29/06,1,1
30/06,1,1
01/07,1,1
02/07,1,1
03/07,1,1
04/07,3,3
05/07,4,4
06/07,4,4
07/07,4,4
08/07,4,4
09/07,4,45
10/07,6,46
11/07,6,51
12/07,7,52
13/07,9,53
14/07,10,57
15/07,11,60
16/07,13,62
17/07,17,67
18/07,20,75
19/07,21,82
20/07,25,85
21/07,35,96
22/07,41,112
23/07,45,123
24/07,55,128
25/07,59,144
26/07,68,149
27/07,76,166
28/07,88,180
29/07,93,190
30/07,96,196
31/07,101,199
01/08,116,204
02/08,126,219
03/08,132,230
04/08,149,236
05/08,157,254
06/08,167,263
07/08,179,273
08/08,190,285
09/08,199,297
10/08,224,307
11/08,235,332
12/08,249,344
13/08,258,359
14/08,283,368
15/08,311,394
16/08,340,425
17/08,355,454
18/08,377,469
19/08,411,493
20/08,430,529
21/08,450,549
22/08,482,570
23/08,511,605
24/08,524,636
25/08,544,650
26/08,579,672
27/08,592,711
28/08,598,725
29/08,603,731
30/08,615,737
31/08,643,874
01/09,655,1012
02/09,667,1150
03/09,673,1290
04/09,,1430
05/09,,1571
06/09,,1714
07/09,,1858
08/09,,2004
09/09,,2153
10/09,,2303
