Date,Real,Predict
29/06,38,38
30/06,54,54
01/07,58,58
02/07,59,59
03/07,73,73
04/07,154,154
05/07,165,165
06/07,169,169
07/07,172,172
08/07,175,175
09/07,180,228
10/07,188,234
11/07,192,246
12/07,196,252
13/07,207,257
14/07,224,270
15/07,260,290
16/07,275,327
17/07,309,346
18/07,328,386
19/07,346,410
20/07,446,431
21/07,650,540
22/07,834,752
23/07,984,941
24/07,1380,1092
25/07,1500,1495
26/07,1775,1616
27/07,1994,1899
28/07,2448,2126
29/07,2620,2576
30/07,2687,2747
31/07,2808,2813
01/08,3111,2934
02/08,3303,3235
03/08,3410,3426
04/08,3632,3533
05/08,3743,3753
06/08,3877,3862
07/08,4085,3996
08/08,4222,4203
09/08,4294,4339
10/08,4532,4412
11/08,4622,4649
12/08,4758,4740
13/08,4848,4877
14/08,5153,4967
15/08,5368,5272
16/08,5621,5490
17/08,5752,5742
18/08,5950,5873
19/08,6238,6072
20/08,6371,6360
21/08,6558,6493
22/08,6731,6682
23/08,6872,6857
24/08,6967,7000
25/08,7137,7096
26/08,7443,7268
27/08,7544,7574
28/08,7599,7676
29/08,7642,7731
30/08,7758,7774
31/08,8013,7922
01/09,8118,8088
02/09,8223,8270
03/09,8330,8468
04/09,,8688
05/09,,8929
06/09,,9188
07/09,,9465
08/09,,9776
09/09,,10115
10/09,,10488
