Date,Real,Predict
29/06,20,20
30/06,21,21
01/07,22,22
02/07,25,25
03/07,40,40
04/07,65,65
05/07,82,82
06/07,91,91
07/07,101,101
08/07,114,114
09/07,115,155
10/07,116,156
11/07,124,158
12/07,134,169
13/07,145,184
14/07,153,197
15/07,250,208
16/07,257,305
17/07,265,314
18/07,274,325
19/07,275,337
20/07,277,338
21/07,397,340
22/07,467,465
23/07,546,537
24/07,598,615
25/07,702,667
26/07,796,771
27/07,882,867
28/07,1127,957
29/07,1315,1194
30/07,1453,1378
31/07,1601,1513
01/08,1901,1658
02/08,2111,1951
03/08,2315,2157
04/08,2551,2358
05/08,2840,2588
06/08,2961,2871
07/08,3305,2990
08/08,3456,3326
09/08,3624,3474
10/08,3888,3641
11/08,4089,3899
12/08,4228,4098
13/08,4374,4236
14/08,4583,4380
15/08,4796,4584
16/08,5008,4797
17/08,5258,5004
18/08,5408,5249
19/08,5575,5398
20/08,5804,5563
21/08,5984,5788
22/08,6260,5966
23/08,6382,6244
24/08,6656,6367
25/08,6775,6643
26/08,6846,6763
27/08,6890,6833
28/08,7024,6877
29/08,7032,7012
30/08,7032,7019
31/08,7032,7018
01/09,7032,7027
02/09,7032,7047
03/09,7032,7077
04/09,,7119
05/09,,7173
06/09,,7240
07/09,,7319
08/09,,7412
09/09,,7514
10/09,,7624
