Date,Real,Predict
29/06,4,4
30/06,4,4
01/07,4,4
02/07,4,4
03/07,4,4
04/07,28,28
05/07,29,29
06/07,31,31
07/07,31,31
08/07,31,31
09/07,31,32
10/07,31,32
11/07,31,32
12/07,32,32
13/07,32,33
14/07,34,33
15/07,43,35
16/07,44,44
17/07,46,45
18/07,47,47
19/07,47,49
20/07,48,49
21/07,54,50
22/07,63,56
23/07,76,65
24/07,81,77
25/07,84,82
26/07,87,85
27/07,94,88
28/07,108,95
29/07,109,109
30/07,130,110
31/07,130,131
01/08,156,131
02/08,170,156
03/08,193,170
04/08,200,192
05/08,209,199
06/08,230,208
07/08,255,229
08/08,257,253
09/08,297,255
10/08,321,295
11/08,334,318
12/08,343,331
13/08,361,340
14/08,390,357
15/08,397,386
16/08,414,393
17/08,443,409
18/08,473,438
19/08,492,467
20/08,501,486
21/08,525,495
22/08,540,519
23/08,553,533
24/08,560,546
25/08,570,553
26/08,595,563
27/08,598,588
28/08,614,591
29/08,617,606
30/08,621,609
31/08,633,603
01/09,646,597
02/09,650,591
03/09,659,586
04/09,,582
05/09,,577
06/09,,573
07/09,,569
08/09,,565
09/09,,560
10/09,,559
