Date,Real,Predict
29/06,7,7
30/06,10,10
01/07,12,12
02/07,9,9
03/07,9,9
04/07,5,5
05/07,3,3
06/07,1,1
07/07,1,1
08/07,1,1
09/07,1,2
10/07,1,3
11/07,1,2
12/07,0,2
13/07,0,1
14/07,0,1
15/07,0,0
16/07,0,0
17/07,0,1
18/07,0,1
19/07,0,1
20/07,1,1
21/07,1,2
22/07,1,2
23/07,1,2
24/07,1,2
25/07,0,2
26/07,0,1
27/07,0,0
28/07,0,0
29/07,0,0
30/07,1,1
31/07,1,2
01/08,2,2
02/08,2,6
03/08,2,5
04/08,2,5
05/08,2,5
06/08,1,5
07/08,4,3
08/08,7,10
09/08,9,17
10/08,11,22
11/08,12,26
12/08,13,28
13/08,11,32
14/08,10,27
15/08,9,23
16/08,8,21
17/08,6,19
18/08,7,15
19/08,8,18
20/08,8,19
21/08,11,20
22/08,9,26
23/08,12,22
24/08,11,29
25/08,10,26
26/08,8,23
27/08,8,18
28/08,3,18
29/08,5,8
30/08,,13
31/08,,30
01/09,,69
02/09,,160
03/09,,368
04/09,,851
05/09,,2027
06/09,,3813
07/09,,3764
08/09,,4921
09/09,,8960
10/09,,15261
