Date,Real,Predict
29/06,0,0
30/06,0,0
01/07,0,0
02/07,0,0
03/07,0,0
04/07,1,1
05/07,2,2
06/07,2,2
07/07,2,2
08/07,2,2
09/07,2,54
10/07,3,55
11/07,3,60
12/07,4,62
13/07,5,65
14/07,6,67
15/07,7,73
16/07,7,75
17/07,8,76
18/07,9,78
19/07,9,82
20/07,10,83
21/07,13,87
22/07,14,94
23/07,20,97
24/07,23,107
25/07,28,114
26/07,33,123
27/07,36,135
28/07,37,143
29/07,44,144
30/07,49,152
31/07,53,158
01/08,69,163
02/08,81,179
03/08,90,193
04/08,106,203
05/08,115,220
06/08,123,229
07/08,131,238
08/08,142,247
09/08,153,259
10/08,167,272
11/08,177,287
12/08,187,299
13/08,198,310
14/08,206,323
15/08,227,331
16/08,240,356
17/08,256,369
18/08,272,387
19/08,287,405
20/08,303,422
21/08,317,439
22/08,320,455
23/08,351,458
24/08,360,495
25/08,379,506
26/08,392,531
27/08,406,546
28/08,421,564
29/08,438,583
30/08,449,606
31/08,458,769
01/09,472,926
02/09,490,1079
03/09,511,1228
04/09,,1373
05/09,,1513
06/09,,1649
07/09,,1781
08/09,,1910
09/09,,2035
10/09,,2156
