Date,Real,Predict
30/06,25,25
01/07,8,8
02/07,80,80
03/07,37,37
04/07,128,128
05/07,90,90
06/07,94,94
07/07,255,255
08/07,36,36
09/07,7,63
10/07,32,7
11/07,10,32
12/07,77,10
13/07,41,77
14/07,124,41
15/07,77,123
16/07,91,76
17/07,60,90
18/07,99,59
19/07,174,98
20/07,93,172
21/07,74,92
22/07,116,73
23/07,189,115
24/07,347,186
25/07,31,342
26/07,234,30
27/07,49,231
28/07,226,48
29/07,223,221
30/07,228,219
31/07,50,225
01/08,379,49
02/08,279,373
03/08,193,274
04/08,24,186
05/08,183,26
06/08,87,180
07/08,134,86
08/08,117,132
09/08,105,116
10/08,66,105
11/08,53,64
12/08,288,52
13/08,44,284
14/08,256,43
15/08,159,252
16/08,28,152
17/08,169,26
18/08,17,168
19/08,317,19
20/08,116,315
21/08,153,114
22/08,34,150
23/08,142,33
24/08,103,140
25/08,203,102
26/08,33,189
27/08,362,33
28/08,322,350
29/08,283,323
30/08,550,284
31/08,430,-21
01/09,382,-23
02/09,531,-25
03/09,121,-35
04/09,,-49
05/09,,-62
06/09,,-21
07/09,,16
08/09,,127
09/09,,211
10/09,,555
