Date,Real,Predict
29/06,0,0
30/06,0,0
01/07,0,0
02/07,0,0
03/07,0,0
04/07,0,0
05/07,1,1
06/07,1,1
07/07,1,1
08/07,1,1
09/07,1,4
10/07,1,4
11/07,1,5
12/07,2,5
13/07,2,7
14/07,2,7
15/07,3,8
16/07,3,9
17/07,3,10
18/07,4,10
19/07,4,12
20/07,4,12
21/07,4,12
22/07,4,13
23/07,5,13
24/07,6,14
25/07,6,16
26/07,7,16
27/07,8,17
28/07,9,19
29/07,10,19
30/07,11,20
31/07,14,22
01/08,16,25
02/08,19,27
03/08,21,30
04/08,25,32
05/08,28,36
06/08,29,39
07/08,30,40
08/08,31,41
09/08,32,42
10/08,40,43
11/08,41,51
12/08,49,53
13/08,51,61
14/08,57,63
15/08,62,70
16/08,69,75
17/08,71,83
18/08,81,85
19/08,87,95
20/08,94,102
21/08,101,109
22/08,110,116
23/08,114,126
24/08,124,130
25/08,131,141
26/08,138,148
27/08,148,156
28/08,151,167
29/08,153,170
30/08,156,172
31/08,164,196
01/09,169,226
02/09,178,263
03/09,182,307
04/09,,360
05/09,,421
06/09,,491
07/09,,569
08/09,,654
09/09,,743
10/09,,836
