Date,Real,Predict
03/07,59,59
04/07,61,61
05/07,50,50
06/07,41,41
07/07,31,31
08/07,13,13
09/07,3,3
10/07,3,3
11/07,3,3
12/07,3,3
13/07,3,3
14/07,4,4
15/07,5,4
16/07,5,5
17/07,9,6
18/07,9,10
19/07,8,10
20/07,10,9
21/07,11,11
22/07,10,11
23/07,9,10
24/07,14,10
25/07,11,14
26/07,11,11
27/07,13,11
28/07,14,13
29/07,11,14
30/07,16,11
31/07,20,16
01/08,19,21
02/08,20,19
03/08,23,20
04/08,21,23
05/08,20,20
06/08,23,19
07/08,22,23
08/08,19,22
09/08,20,19
10/08,23,20
11/08,27,23
12/08,42,27
13/08,48,42
14/08,73,48
15/08,94,73
16/08,109,93
17/08,145,108
18/08,178,144
19/08,181,177
20/08,170,180
21/08,176,168
22/08,180,173
23/08,198,176
24/08,200,195
25/08,190,197
26/08,257,186
27/08,270,254
28/08,211,268
29/08,176,207
30/08,169,173
31/08,70,169
01/09,0,70
02/09,0,0
03/09,0,0
04/09,,0
05/09,,0
06/09,,0
07/09,,0
08/09,,0
09/09,,0
10/09,,0
11/09,,0
12/09,,0
13/09,,0
14/09,,0
15/09,,0
