Date,Real,Predict
29/06,0,0
30/06,0,0
01/07,0,0
02/07,0,0
03/07,0,0
04/07,1,1
05/07,1,1
06/07,1,1
07/07,1,1
08/07,1,1
09/07,2,43
10/07,3,48
11/07,3,54
12/07,3,56
13/07,3,56
14/07,4,57
15/07,4,63
16/07,5,63
17/07,6,70
18/07,8,74
19/07,8,85
20/07,9,88
21/07,10,96
22/07,12,101
23/07,13,110
24/07,16,112
25/07,18,122
26/07,20,127
27/07,21,135
28/07,24,140
29/07,31,142
30/07,35,151
31/07,36,156
01/08,41,157
02/08,47,163
03/08,51,170
04/08,62,175
05/08,64,187
06/08,76,189
07/08,81,204
08/08,88,210
09/08,101,218
10/08,117,235
11/08,128,253
12/08,137,266
13/08,154,278
14/08,175,300
15/08,185,323
16/08,204,337
17/08,231,357
18/08,246,388
19/08,266,406
20/08,283,432
21/08,305,451
22/08,316,479
23/08,340,493
24/08,357,526
25/08,384,550
26/08,411,592
27/08,439,628
28/08,477,671
29/08,511,729
30/08,542,788
31/08,589,1041
01/09,612,1273
02/09,640,1487
03/09,661,1685
04/09,,1869
05/09,,2042
06/09,,2205
07/09,,2359
08/09,,2504
09/09,,2641
10/09,,2772
