Date,Real,Predict
30/06,105,105
01/07,44,44
02/07,12,12
03/07,11,11
04/07,94,94
05/07,20,20
06/07,10,10
07/07,12,12
08/07,8,8
09/07,89,299
10/07,82,88
11/07,43,82
12/07,8,42
13/07,10,7
14/07,106,9
15/07,8,105
16/07,100,7
17/07,64,99
18/07,182,63
19/07,61,182
20/07,155,60
21/07,87,153
22/07,213,83
23/07,63,207
24/07,233,61
25/07,105,224
26/07,174,102
27/07,98,169
28/07,99,99
29/07,259,93
30/07,135,251
31/07,20,130
01/08,110,23
02/08,137,106
03/08,98,133
04/08,162,95
05/08,44,157
06/08,221,42
07/08,106,215
08/08,122,104
09/08,187,118
10/08,207,182
11/08,136,201
12/08,156,132
13/08,274,149
14/08,314,262
15/08,157,295
16/08,199,149
17/08,332,185
18/08,212,323
19/08,287,205
20/08,184,280
21/08,327,173
22/08,140,321
23/08,304,138
24/08,268,296
25/08,529,250
26/08,429,511
27/08,528,405
28/08,767,509
29/08,778,744
30/08,761,768
31/08,568,-6
01/09,384,-10
02/09,492,-2
03/09,531,5
04/09,,10
05/09,,2
06/09,,-14
07/09,,-57
08/09,,-97
09/09,,-134
10/09,,-172
