Date,Real,Predict
29/06,0,0
30/06,0,0
01/07,0,0
02/07,0,0
03/07,0,0
04/07,0,0
05/07,2,2
06/07,2,2
07/07,2,2
08/07,2,2
09/07,2,25
10/07,2,25
11/07,2,26
12/07,3,26
13/07,3,30
14/07,3,30
15/07,4,32
16/07,5,34
17/07,6,37
18/07,7,39
19/07,8,43
20/07,8,46
21/07,10,46
22/07,11,51
23/07,12,53
24/07,13,55
25/07,16,57
26/07,18,61
27/07,20,66
28/07,21,72
29/07,27,72
30/07,30,79
31/07,34,83
01/08,43,87
02/08,51,97
03/08,57,106
04/08,69,112
05/08,77,125
06/08,85,133
07/08,94,142
08/08,106,151
09/08,114,164
10/08,125,174
11/08,138,185
12/08,149,200
13/08,160,212
14/08,170,225
15/08,184,235
16/08,195,251
17/08,206,263
18/08,217,274
19/08,229,286
20/08,245,300
21/08,252,317
22/08,274,324
23/08,292,350
24/08,298,371
25/08,311,378
26/08,313,394
27/08,329,397
28/08,339,416
29/08,352,429
30/08,366,446
31/08,381,554
01/09,395,675
02/09,405,809
03/09,433,954
04/09,,1109
05/09,,1275
06/09,,1449
07/09,,1632
08/09,,1820
09/09,,2015
10/09,,2216
