Date,Real,Predict
29/06,8,8
30/06,10,10
01/07,11,11
02/07,13,13
03/07,16,16
04/07,26,26
05/07,38,38
06/07,39,39
07/07,41,41
08/07,42,42
09/07,43,85
10/07,44,87
11/07,45,89
12/07,51,91
13/07,53,101
14/07,57,104
15/07,117,111
16/07,122,171
17/07,127,180
18/07,133,187
19/07,143,197
20/07,146,212
21/07,187,215
22/07,219,259
23/07,261,293
24/07,289,335
25/07,361,364
26/07,430,437
27/07,490,509
28/07,531,574
29/07,745,613
30/07,820,822
31/07,921,896
01/08,1109,995
02/08,1250,1178
03/08,1369,1316
04/08,1519,1433
05/08,1636,1579
06/08,1743,1693
07/08,1911,1799
08/08,2053,1962
09/08,2122,2102
10/08,2229,2171
11/08,2330,2275
12/08,2437,2375
13/08,2548,2482
14/08,2663,2592
15/08,2770,2705
16/08,2866,2813
17/08,2962,2906
18/08,3057,3001
19/08,3157,3095
20/08,3269,3194
21/08,3333,3305
22/08,3452,3368
23/08,3543,3490
24/08,3587,3584
25/08,3701,3628
26/08,3719,3745
27/08,3840,3763
28/08,3938,3887
29/08,4050,3986
30/08,4189,4103
31/08,4323,4175
01/09,4450,4264
02/09,4545,4367
03/09,5010,4480
04/09,,4602
05/09,,4731
06/09,,4864
07/09,,4999
08/09,,5137
09/09,,5274
10/09,,5412
