Date,Real,Predict
30/06,177,177
01/07,62,62
02/07,73,73
03/07,333,333
04/07,155,155
05/07,95,95
06/07,11,11
07/07,58,58
08/07,41,41
09/07,106,69
10/07,194,115
11/07,3,193
12/07,19,5
13/07,338,27
14/07,181,341
15/07,19,181
16/07,140,20
17/07,323,145
18/07,431,323
19/07,368,432
20/07,443,377
21/07,786,445
22/07,489,798
23/07,504,511
24/07,629,503
25/07,205,640
26/07,444,215
27/07,969,450
28/07,680,965
29/07,328,669
30/07,468,331
31/07,1217,463
01/08,548,1192
02/08,256,534
03/08,104,248
04/08,91,100
05/08,44,87
06/08,71,42
07/08,72,68
08/08,94,69
09/08,103,91
10/08,71,101
11/08,85,69
12/08,82,83
13/08,79,80
14/08,107,77
15/08,73,104
16/08,61,72
17/08,50,59
18/08,98,49
19/08,84,96
20/08,84,82
21/08,107,82
22/08,84,105
23/08,109,83
24/08,205,108
25/08,92,203
26/08,273,95
27/08,312,275
28/08,94,314
29/08,154,101
30/08,50,121
31/08,47,150
01/09,86,180
02/09,202,209
03/09,704,238
04/09,,268
05/09,,295
06/09,,323
07/09,,353
08/09,,381
09/09,,402
10/09,,422
11/09,,442
12/09,,461
13/09,,479
