Date,Real,Predict
29/06,27,27
30/06,35,35
01/07,36,36
02/07,37,37
03/07,81,81
04/07,121,121
05/07,130,130
06/07,132,132
07/07,136,136
08/07,139,139
09/07,146,199
10/07,152,209
11/07,152,220
12/07,153,220
13/07,184,222
14/07,198,260
15/07,208,279
16/07,216,289
17/07,242,301
18/07,270,334
19/07,301,373
20/07,369,412
21/07,602,489
22/07,777,734
23/07,1063,914
24/07,1352,1202
25/07,1453,1496
26/07,1608,1598
27/07,1896,1759
28/07,2685,2062
29/07,2962,2837
30/07,3320,3112
31/07,4237,3468
01/08,4713,4380
02/08,4907,4852
03/08,4986,5045
04/08,5064,5124
05/08,5099,5201
06/08,5150,5236
07/08,5212,5286
08/08,5281,5348
09/08,5338,5417
10/08,5392,5474
11/08,5444,5527
12/08,5491,5579
13/08,5540,5627
14/08,5628,5676
15/08,5663,5763
16/08,5713,5798
17/08,5749,5848
18/08,5810,5884
19/08,5860,5945
20/08,5916,5995
21/08,5983,6050
22/08,6018,6117
23/08,6061,6153
24/08,6153,6197
25/08,6193,6291
26/08,6342,6331
27/08,6472,6481
28/08,6518,6614
29/08,6577,6660
30/08,6597,6720
31/08,6632,6741
01/09,6678,6883
02/09,6784,7024
03/09,7253,7163
04/09,7293,7302
05/09,7586,7440
06/09,,7579
07/09,,7717
08/09,,7857
09/09,,7997
10/09,,8139
11/09,,8282
12/09,,8426
13/09,,8571
14/09,,8719
15/09,,8867
