Date,Real,Predict
29/06,126,126
30/06,99,99
01/07,99,99
02/07,99,99
03/07,35,35
04/07,11,11
05/07,17,17
06/07,16,16
07/07,14,14
08/07,13,13
09/07,21,30
10/07,12,45
11/07,15,27
12/07,28,34
13/07,42,60
14/07,37,90
15/07,42,81
16/07,50,91
17/07,43,109
18/07,37,93
19/07,37,80
20/07,42,79
21/07,37,90
22/07,44,80
23/07,47,93
24/07,54,100
25/07,46,114
26/07,50,96
27/07,52,104
28/07,57,108
29/07,60,119
30/07,68,123
31/07,66,141
01/08,58,136
02/08,49,121
03/08,49,102
04/08,50,101
05/08,50,105
06/08,56,104
07/08,58,117
08/08,54,121
09/08,55,114
10/08,58,114
11/08,56,121
12/08,55,118
13/08,60,115
14/08,62,125
15/08,67,130
16/08,71,141
17/08,78,149
18/08,82,163
19/08,73,172
20/08,73,153
21/08,75,153
22/08,77,157
23/08,69,161
24/08,75,144
25/08,69,157
26/08,61,144
27/08,49,127
28/08,44,102
29/08,46,91
30/08,44,94
31/08,43,91
01/09,,183
02/09,,365
03/09,,715
04/09,,1380
05/09,,2619
06/09,,4876
07/09,,8862
08/09,,15613
09/09,,26438
10/09,,42148
11/09,,61410
12/09,,78944
13/09,,88751
14/09,,91212
15/09,,90684
