Date,Real,Predict
29/06,0,0
30/06,0,0
01/07,0,0
02/07,0,0
03/07,1,1
04/07,2,2
05/07,3,3
06/07,3,3
07/07,3,3
08/07,3,3
09/07,4,4
10/07,5,5
11/07,5,6
12/07,5,6
13/07,10,6
14/07,11,11
15/07,11,12
16/07,12,12
17/07,15,13
18/07,20,17
19/07,22,22
20/07,25,24
21/07,36,27
22/07,42,39
23/07,50,45
24/07,57,53
25/07,61,60
26/07,66,64
27/07,76,69
28/07,97,80
29/07,105,101
30/07,120,109
31/07,154,124
01/08,178,158
02/08,188,182
03/08,192,192
04/08,198,196
05/08,200,202
06/08,204,204
07/08,207,208
08/08,213,211
09/08,220,217
10/08,226,224
11/08,233,230
12/08,238,237
13/08,243,242
14/08,250,247
15/08,255,254
16/08,261,259
17/08,265,265
18/08,272,269
19/08,278,276
20/08,286,282
21/08,293,290
22/08,299,297
23/08,308,303
24/08,321,312
25/08,326,325
26/08,343,330
27/08,360,347
28/08,365,364
29/08,372,369
30/08,374,374
31/08,378,379
01/09,383,383
02/09,395,387
03/09,423,391
04/09,,396
05/09,,401
06/09,,407
07/09,,416
08/09,,430
09/09,,450
10/09,,479
11/09,,518
12/09,,565
13/09,,620
