Date,Real,Predict
30/06,27,27
01/07,65,65
02/07,174,174
03/07,118,118
04/07,97,97
05/07,183,183
06/07,51,51
07/07,150,150
08/07,155,155
09/07,11,35
10/07,26,9
11/07,144,13
12/07,181,130
13/07,117,169
14/07,107,108
15/07,181,118
16/07,120,175
17/07,100,131
18/07,135,107
19/07,11,145
20/07,10,9
21/07,406,-1
22/07,195,387
23/07,139,184
24/07,114,127
25/07,211,109
26/07,270,215
27/07,291,265
28/07,211,286
29/07,223,188
30/07,180,195
31/07,196,156
01/08,345,171
02/08,277,305
03/08,269,245
04/08,277,253
05/08,367,257
06/08,169,341
07/08,401,157
08/08,205,368
09/08,301,190
10/08,347,284
11/08,328,321
12/08,244,307
13/08,235,231
14/08,255,220
15/08,442,234
16/08,258,422
17/08,345,238
18/08,242,321
19/08,281,227
20/08,345,264
21/08,287,321
22/08,661,268
23/08,309,635
24/08,609,292
25/08,271,582
26/08,130,253
27/08,106,117
28/08,276,112
29/08,21,275
30/08,0,35
31/08,0,10
01/09,0,-653
02/09,0,-671
03/09,0,-685
04/09,0,-690
05/09,0,-662
06/09,,-629
07/09,,-598
08/09,,-567
09/09,,-536
10/09,,-507
11/09,,-476
12/09,,-445
13/09,,-415
14/09,,-386
15/09,,-359
