Date,Real,Predict
29/06,1,1
30/06,1,1
01/07,1,1
02/07,1,1
03/07,1,1
04/07,1,1
05/07,2,2
06/07,2,2
07/07,2,2
08/07,2,2
09/07,2,2
10/07,2,2
11/07,4,2
12/07,5,4
13/07,5,5
14/07,5,5
15/07,6,5
16/07,6,6
17/07,6,6
18/07,7,6
19/07,7,7
20/07,8,7
21/07,8,8
22/07,9,8
23/07,10,10
24/07,11,11
25/07,15,12
26/07,15,16
27/07,17,16
28/07,17,18
29/07,23,18
30/07,24,24
31/07,25,25
01/08,27,26
02/08,31,28
03/08,34,32
04/08,44,35
05/08,48,45
06/08,55,49
07/08,58,56
08/08,64,59
09/08,74,65
10/08,86,75
11/08,101,87
12/08,119,102
13/08,122,120
14/08,137,123
15/08,138,138
16/08,156,139
17/08,163,157
18/08,176,164
19/08,177,177
20/08,178,178
21/08,202,179
22/08,217,203
23/08,218,218
24/08,233,219
25/08,242,234
26/08,249,243
27/08,258,250
28/08,265,259
29/08,272,266
30/08,276,268
31/08,283,270
01/09,288,271
02/09,291,273
03/09,294,274
04/09,,276
05/09,,277
06/09,,279
07/09,,280
08/09,,282
09/09,,284
10/09,,286
11/09,,290
12/09,,295
13/09,,302
