Date,Real,Predict
30/06,9,9
01/07,244,244
02/07,88,88
03/07,14,14
04/07,15,15
05/07,91,91
06/07,4,4
07/07,15,15
08/07,4,4
09/07,3,32
10/07,2,16
11/07,333,8
12/07,111,332
13/07,17,112
14/07,17,27
15/07,111,24
16/07,23,107
17/07,40,34
18/07,81,50
19/07,76,81
20/07,83,95
21/07,14,89
22/07,124,22
23/07,76,134
24/07,99,69
25/07,224,104
26/07,16,206
27/07,205,10
28/07,14,198
29/07,239,8
30/07,44,216
31/07,46,67
01/08,41,50
02/08,94,37
03/08,85,86
04/08,156,74
05/08,63,136
06/08,134,51
07/08,53,118
08/08,97,44
09/08,144,82
10/08,147,132
11/08,192,131
12/08,306,175
13/08,50,282
14/08,219,46
15/08,9,195
16/08,190,10
17/08,91,172
18/08,194,85
19/08,11,180
20/08,7,15
21/08,344,7
22/08,199,319
23/08,17,190
24/08,239,18
25/08,174,223
26/08,105,167
27/08,162,105
28/08,146,162
29/08,163,147
30/08,108,167
31/08,88,111
01/09,81,90
02/09,52,-157
03/09,66,-161
04/09,32,-165
05/09,41,-169
06/09,11,-171
07/09,,-169
08/09,,-165
09/09,,-157
10/09,,-146
11/09,,-131
12/09,,-107
13/09,,-77
14/09,,-22
15/09,,54
16/09,,134
