Date,Real,Predict
29/06,70,70
30/06,87,87
01/07,40,40
02/07,24,24
03/07,21,21
04/07,18,18
05/07,1,1
06/07,20,20
07/07,24,24
08/07,25,25
09/07,25,36
10/07,30,36
11/07,11,43
12/07,7,16
13/07,8,11
14/07,9,12
15/07,5,13
16/07,7,7
17/07,5,10
18/07,5,7
19/07,5,7
20/07,7,7
21/07,7,10
22/07,8,10
23/07,8,11
24/07,7,10
25/07,10,9
26/07,8,13
27/07,7,11
28/07,8,10
29/07,9,10
30/07,17,12
31/07,17,22
01/08,19,22
02/08,19,24
03/08,18,24
04/08,5,23
05/08,9,6
06/08,8,12
07/08,26,11
08/08,27,33
09/08,55,35
10/08,51,70
11/08,59,66
12/08,49,76
13/08,60,63
14/08,34,77
15/08,34,44
16/08,41,44
17/08,50,53
18/08,38,65
19/08,51,48
20/08,58,65
21/08,52,74
22/08,60,66
23/08,74,77
24/08,61,94
25/08,66,78
26/08,65,84
27/08,39,82
28/08,32,49
29/08,38,40
30/08,,51
31/08,,64
01/09,,81
02/09,,103
03/09,,132
04/09,,170
05/09,,219
06/09,,285
07/09,,371
08/09,,485
09/09,,637
10/09,,839
11/09,,1107
12/09,,1463
13/09,,1936
