Date,Real,Predict
29/06,8,8
30/06,8,8
01/07,13,13
02/07,14,14
03/07,16,16
04/07,20,20
05/07,28,28
06/07,29,29
07/07,30,30
08/07,30,30
09/07,30,149
10/07,30,149
11/07,48,150
12/07,54,201
13/07,56,218
14/07,57,221
15/07,117,224
16/07,118,283
17/07,121,287
18/07,126,293
19/07,132,306
20/07,145,319
21/07,149,339
22/07,193,344
23/07,236,392
24/07,282,434
25/07,392,481
26/07,398,592
27/07,459,598
28/07,475,668
29/07,677,683
30/07,711,867
31/07,746,898
01/08,782,930
02/08,853,963
03/08,917,1029
04/08,1050,1088
05/08,1100,1208
06/08,1196,1254
07/08,1241,1343
08/08,1313,1384
09/08,1393,1451
10/08,1505,1528
11/08,1623,1631
12/08,1797,1743
13/08,1828,1911
14/08,2007,1941
15/08,2011,2104
16/08,2167,2108
17/08,2233,2249
18/08,2353,2310
19/08,2360,2424
20/08,2365,2431
21/08,2581,2436
22/08,2664,2640
23/08,2671,2726
24/08,2778,2733
25/08,2854,2842
26/08,2911,2920
27/08,2979,2976
28/08,3050,3046
29/08,3112,3117
30/08,3155,3183
31/08,3221,3228
01/09,3264,3289
02/09,3291,3337
03/09,3335,3369
04/09,3350,3388
05/09,3370,3398
06/09,3377,3401
07/09,,3396
08/09,,3387
09/09,,3374
10/09,,3357
11/09,,3338
12/09,,3317
13/09,,3294
14/09,,3271
15/09,,3247
16/09,,3222
