Date,Real,Predict
29/06,0,0
30/06,0,0
01/07,0,0
02/07,0,0
03/07,0,0
04/07,0,0
05/07,1,1
06/07,2,2
07/07,2,2
08/07,2,2
09/07,2,3
10/07,3,3
11/07,3,4
12/07,4,4
13/07,4,5
14/07,4,5
15/07,5,5
16/07,5,6
17/07,6,6
18/07,8,7
19/07,9,10
20/07,10,11
21/07,14,12
22/07,14,16
23/07,17,16
24/07,20,19
25/07,22,22
26/07,26,24
27/07,29,29
28/07,32,32
29/07,38,35
30/07,42,41
31/07,45,45
01/08,51,48
02/08,55,54
03/08,59,58
04/08,68,62
05/08,71,71
06/08,80,74
07/08,86,83
08/08,93,89
09/08,104,96
10/08,119,107
11/08,130,122
12/08,135,133
13/08,144,138
14/08,151,148
15/08,168,155
16/08,185,172
17/08,200,189
18/08,209,204
19/08,219,213
20/08,234,223
21/08,237,238
22/08,253,241
23/08,265,257
24/08,273,269
25/08,279,277
26/08,281,283
27/08,288,285
28/08,293,292
29/08,296,297
30/08,301,301
31/08,313,306
01/09,321,311
02/09,329,315
03/09,337,320
04/09,347,325
05/09,353,329
06/09,,334
07/09,,338
08/09,,343
09/09,,347
10/09,,351
11/09,,355
12/09,,359
13/09,,363
14/09,,367
15/09,,370
