Date,Real,Predict
29/06,47,47
30/06,53,53
01/07,53,53
02/07,39,39
03/07,36,36
04/07,26,26
05/07,12,12
06/07,16,16
07/07,14,14
08/07,13,13
09/07,13,39
10/07,11,40
11/07,3,33
12/07,3,9
13/07,5,9
14/07,5,16
15/07,5,16
16/07,7,16
17/07,7,21
18/07,6,22
19/07,5,18
20/07,7,16
21/07,5,20
22/07,7,15
23/07,7,21
24/07,11,21
25/07,10,34
26/07,21,29
27/07,20,62
28/07,20,59
29/07,18,60
30/07,20,52
31/07,9,59
01/08,10,26
02/08,11,29
03/08,11,32
04/08,10,33
05/08,12,28
06/08,13,35
07/08,13,38
08/08,22,37
09/08,28,65
10/08,55,81
11/08,85,158
12/08,115,245
13/08,128,332
14/08,146,368
15/08,148,422
16/08,123,426
17/08,128,353
18/08,129,368
19/08,129,373
20/08,120,371
21/08,118,345
22/08,106,338
23/08,98,304
24/08,85,282
25/08,86,243
26/08,105,248
27/08,107,302
28/08,114,306
29/08,143,327
30/08,,899
31/08,,2394
01/09,,6138
02/09,,14984
03/09,,33696
04/09,,64516
05/09,,90709
06/09,,87448
07/09,,83004
08/09,,79408
09/09,,75881
10/09,,72575
11/09,,69439
12/09,,66472
13/09,,63666
