Date,Real,Predict
30/06,67,67
01/07,24,24
02/07,90,90
03/07,19,19
04/07,64,64
05/07,86,86
06/07,91,91
07/07,48,48
08/07,34,34
09/07,19,0
10/07,70,19
11/07,60,69
12/07,88,60
13/07,21,88
14/07,65,25
15/07,88,68
16/07,79,89
17/07,121,80
18/07,178,124
19/07,106,184
20/07,101,107
21/07,268,102
22/07,40,269
23/07,181,42
24/07,239,180
25/07,121,239
26/07,330,121
27/07,237,330
28/07,111,237
29/07,236,111
30/07,138,232
31/07,102,136
01/08,127,99
02/08,103,125
03/08,105,101
04/08,127,104
05/08,60,125
06/08,154,59
07/08,127,152
08/08,106,125
09/08,163,106
10/08,193,162
11/08,137,193
12/08,80,139
13/08,148,83
14/08,101,148
15/08,264,102
16/08,179,262
17/08,187,173
18/08,130,185
19/08,136,129
20/08,163,134
21/08,48,160
22/08,207,47
23/08,149,205
24/08,133,149
25/08,114,131
26/08,40,114
27/08,130,43
28/08,100,130
29/08,72,101
30/08,128,77
31/08,142,130
01/09,142,84
02/09,143,150
03/09,199,219
04/09,196,293
05/09,138,365
06/09,,427
07/09,,480
08/09,,531
09/09,,578
10/09,,615
11/09,,647
12/09,,676
13/09,,702
14/09,,727
15/09,,751
