Date,Real,Predict
29/06,8,8
30/06,11,11
01/07,12,12
02/07,13,13
03/07,15,15
04/07,31,31
05/07,39,39
06/07,54,54
07/07,57,57
08/07,60,60
09/07,61,87
10/07,63,88
11/07,66,92
12/07,71,97
13/07,73,104
14/07,78,106
15/07,125,113
16/07,130,161
17/07,140,168
18/07,152,181
19/07,161,198
20/07,177,209
21/07,256,228
22/07,270,311
23/07,373,326
24/07,483,431
25/07,543,544
26/07,658,605
27/07,728,725
28/07,857,800
29/07,1056,927
30/07,1161,1126
31/07,1238,1232
01/08,1348,1309
02/08,1426,1419
03/08,1505,1497
04/08,1613,1576
05/08,1660,1684
06/08,1770,1731
07/08,1879,1841
08/08,1957,1950
09/08,2048,2028
10/08,2195,2121
11/08,2279,2268
12/08,2324,2352
13/08,2416,2398
14/08,2499,2491
15/08,2626,2574
16/08,2773,2704
17/08,2908,2850
18/08,2989,2986
19/08,3070,3067
20/08,3178,3149
21/08,3208,3258
22/08,3294,3288
23/08,3353,3377
24/08,3413,3437
25/08,3463,3499
26/08,3485,3550
27/08,3539,3573
28/08,3587,3628
29/08,3614,3677
30/08,3665,3767
31/08,3772,3859
01/09,3847,3954
02/09,3922,4056
03/09,4055,4167
04/09,,4288
05/09,,4421
06/09,,4566
07/09,,4726
08/09,,4899
09/09,,5089
10/09,,5294
11/09,,5515
12/09,,5752
13/09,,6007
