Date,Real,Predict
29/06,179,179
30/06,220,220
01/07,238,238
02/07,255,255
03/07,327,327
04/07,445,445
05/07,489,489
06/07,608,608
07/07,685,685
08/07,761,761
09/07,847,2520
10/07,896,2718
11/07,980,2912
12/07,1086,3144
13/07,1269,3431
14/07,1437,3785
15/07,2209,4153
16/07,2364,4949
17/07,2608,5351
18/07,2830,5865
19/07,3139,6391
20/07,3726,7019
21/07,4905,7902
22/07,6490,9299
23/07,8536,11083
24/07,10767,13175
25/07,12654,15549
26/07,14766,17529
27/07,16721,19922
28/07,21075,22239
29/07,24926,26286
30/07,28054,29991
31/07,30879,33039
01/08,34370,35798
02/08,37574,39143
03/08,40699,42268
04/08,43475,45317
05/08,46516,47976
06/08,49339,50919
07/08,52672,53685
08/08,55495,56879
09/08,57701,59630
10/08,60665,61870
11/08,62707,64739
12/08,64856,66777
13/08,67031,68956
14/08,70448,71127
15/08,72594,74410
16/08,75310,76650
17/08,77871,79250
18/08,80162,81744
19/08,82762,84030
20/08,84980,86639
21/08,87526,88815
22/08,89268,91340
23/08,90939,93200
24/08,93010,94995
25/08,95319,97163
26/08,97440,99618
27/08,99676,101775
28/08,102319,104176
29/08,104565,106928
30/08,106937,109386
31/08,109990,111971
01/09,112689,114919
02/09,115744,118598
03/09,119916,121227
04/09,122182,122865
05/09,124888,123817
06/09,127803,124292
07/09,,124421
08/09,,124255
09/09,,123816
10/09,,123077
11/09,,122149
12/09,,121220
13/09,,120400
14/09,,119646
15/09,,118865
16/09,,118035
