Date,Real,Predict
29/06,394,394
30/06,340,340
01/07,303,303
02/07,208,208
03/07,132,132
04/07,173,173
05/07,205,205
06/07,295,295
07/07,289,289
08/07,291,291
09/07,305,449
10/07,291,467
11/07,213,441
12/07,248,321
13/07,347,373
14/07,328,519
15/07,344,486
16/07,409,506
17/07,393,596
18/07,385,568
19/07,395,551
20/07,461,560
21/07,423,650
22/07,478,592
23/07,519,662
24/07,580,716
25/07,527,795
26/07,595,719
27/07,618,807
28/07,655,836
29/07,669,880
30/07,770,894
31/07,747,1025
01/08,776,992
02/08,721,1028
03/08,727,953
04/08,697,959
05/08,674,920
06/08,692,888
07/08,828,912
08/08,932,1089
09/08,1121,1225
10/08,1356,1470
11/08,1514,1776
12/08,1756,1982
13/08,2082,2295
14/08,2476,2719
15/08,2710,3230
16/08,2938,3531
17/08,3081,3825
18/08,3173,4006
19/08,3228,4120
20/08,3552,4185
21/08,3587,4590
22/08,3841,4616
23/08,4169,4926
24/08,4282,5313
25/08,4285,5407
26/08,4180,5381
27/08,3966,5211
28/08,3672,4910
29/08,3554,4506
30/08,,5548
31/08,,6847
01/09,,8475
02/09,,10523
03/09,,13101
04/09,,16354
05/09,,20462
06/09,,25661
07/09,,32237
08/09,,40560
09/09,,51051
10/09,,64236
11/09,,80738
12/09,,101269
13/09,,126603
