Date,Real,Predict
30/06,944,944
01/07,836,836
02/07,1149,1149
03/07,550,550
04/07,461,461
05/07,473,473
06/07,710,710
07/07,1201,1201
08/07,915,915
09/07,1229,708
10/07,1492,1466
11/07,1569,1825
12/07,1936,1931
13/07,1970,2178
14/07,2229,2178
15/07,1440,2319
16/07,2694,1494
17/07,3079,2790
18/07,3389,3183
19/07,3638,3547
20/07,3810,3827
21/07,3983,4024
22/07,4441,4129
23/07,3607,4436
24/07,4851,3612
25/07,3831,4780
26/07,6037,3849
27/07,6580,5971
28/07,3753,6534
29/07,4564,3246
30/07,4092,4261
31/07,3748,3822
01/08,4019,3523
02/08,4228,3806
03/08,4129,4032
04/08,3257,3848
05/08,3859,2987
06/08,3945,3522
07/08,3886,3537
08/08,3826,3440
09/08,3959,3455
10/08,3893,3655
11/08,3328,3539
12/08,3781,3112
13/08,3492,3546
14/08,4175,3252
15/08,4460,3798
16/08,3308,4225
17/08,3540,2997
18/08,3694,3239
19/08,4371,3429
20/08,3347,4061
21/08,4052,3028
22/08,4178,3724
23/08,4241,3997
24/08,4610,4021
25/08,5268,4312
26/08,3877,5142
27/08,5357,3707
28/08,5456,5340
29/08,5889,5306
30/08,5984,5584
31/08,4053,5911
01/09,5095,-6628
02/09,5824,-5524
03/09,6259,-5058
04/09,4942,-4994
05/09,5520,-5412
06/09,,-5579
07/09,,-5936
08/09,,-6411
09/09,,-6657
10/09,,-6762
11/09,,-6486
12/09,,-6191
13/09,,-5885
14/09,,-5573
15/09,,-5274
