Date,Real,Predict
29/06,16,16
30/06,22,22
01/07,24,24
02/07,25,25
03/07,31,31
04/07,87,87
05/07,92,92
06/07,95,95
07/07,97,97
08/07,98,98
09/07,101,253
10/07,105,259
11/07,109,274
12/07,114,284
13/07,119,296
14/07,133,305
15/07,177,333
16/07,178,377
17/07,183,380
18/07,190,389
19/07,194,405
20/07,211,412
21/07,271,436
22/07,313,504
23/07,529,550
24/07,642,765
25/07,785,882
26/07,933,1028
27/07,1014,1190
28/07,1056,1282
29/07,1276,1320
30/07,1408,1528
31/07,1520,1653
01/08,1834,1760
02/08,2064,2055
03/08,2239,2274
04/08,2447,2440
05/08,2577,2635
06/08,2676,2758
07/08,2818,2853
08/08,2946,2986
09/08,3037,3108
10/08,3176,3198
11/08,3253,3330
12/08,3351,3404
13/08,3459,3501
14/08,3553,3606
15/08,3710,3695
16/08,3822,3854
17/08,3965,3959
18/08,4108,4095
19/08,4232,4234
20/08,4349,4356
21/08,4481,4468
22/08,4496,4597
23/08,4646,4612
24/08,4712,4770
25/08,4880,4837
26/08,4993,5011
27/08,5105,5123
28/08,5247,5240
29/08,5396,5384
30/08,5505,5543
31/08,5589,5658
01/09,5713,5755
02/09,5876,5803
03/09,6227,5811
04/09,6276,5785
05/09,6413,5732
06/09,,5661
07/09,,5582
08/09,,5519
09/09,,5504
10/09,,5587
11/09,,5824
12/09,,6265
13/09,,6938
14/09,,7835
15/09,,8918
