Date,Real,Predict
30/06,133,133
01/07,79,79
02/07,67,67
03/07,45,45
04/07,218,218
05/07,57,57
06/07,16,16
07/07,38,38
08/07,11,11
09/07,47,-6
10/07,126,46
11/07,77,142
12/07,83,86
13/07,49,82
14/07,180,56
15/07,83,196
16/07,23,83
17/07,61,45
18/07,105,77
19/07,43,115
20/07,109,59
21/07,202,115
22/07,119,236
23/07,381,147
24/07,246,385
25/07,290,253
26/07,424,293
27/07,274,425
28/07,36,279
29/07,261,48
30/07,173,262
31/07,149,172
01/08,361,150
02/08,303,354
03/08,231,291
04/08,244,218
05/08,165,233
06/08,138,157
07/08,165,132
08/08,174,158
09/08,163,167
10/08,183,156
11/08,125,175
12/08,172,122
13/08,173,168
14/08,115,168
15/08,327,111
16/08,136,318
17/08,197,131
18/08,231,189
19/08,208,223
20/08,177,202
21/08,210,171
22/08,35,203
23/08,381,37
24/08,146,373
25/08,384,144
26/08,207,378
27/08,268,208
28/08,294,270
29/08,391,296
30/08,274,60
31/08,112,50
01/09,235,40
02/09,310,31
03/09,527,23
04/09,,17
05/09,,12
06/09,,7
07/09,,2
08/09,,-1
09/09,,-3
10/09,,-5
11/09,,-7
12/09,,-8
13/09,,-8
