Date,Real,Predict
29/06,11,11
30/06,12,12
01/07,12,12
02/07,13,13
03/07,18,18
04/07,51,51
05/07,59,59
06/07,75,75
07/07,91,91
08/07,94,94
09/07,94,224
10/07,95,225
11/07,96,229
12/07,100,232
13/07,104,244
14/07,113,252
15/07,154,274
16/07,159,316
17/07,164,331
18/07,170,342
19/07,185,358
20/07,199,391
21/07,221,413
22/07,262,440
23/07,369,486
24/07,529,593
25/07,544,761
26/07,626,777
27/07,641,869
28/07,903,887
29/07,1091,1120
30/07,1265,1295
31/07,1303,1459
01/08,1632,1495
02/08,1843,1799
03/08,1989,1998
04/08,2009,2136
05/08,2153,2154
06/08,2215,2289
07/08,2330,2348
08/08,2416,2455
09/08,2475,2536
10/08,2525,2594
11/08,2558,2641
12/08,2722,2673
13/08,2749,2835
14/08,2959,2862
15/08,3036,3057
16/08,3059,3136
17/08,3181,3157
18/08,3192,3272
19/08,3381,3283
20/08,3458,3468
21/08,3554,3541
22/08,3568,3634
23/08,3624,3649
24/08,3670,3708
25/08,3759,3756
26/08,3777,3850
27/08,3928,3868
28/08,4084,4029
29/08,4192,4189
30/08,4410,4307
31/08,4734,4543
01/09,4936,4847
02/09,5215,4934
03/09,5296,4998
04/09,5444,5041
05/09,5568,5063
06/09,5568,5063
07/09,,5040
08/09,,4996
09/09,,4934
10/09,,4857
11/09,,4769
12/09,,4670
13/09,,4563
14/09,,4447
15/09,,4323
16/09,,4192
