Date,Real,Predict
29/06,50,50
30/06,60,60
01/07,62,62
02/07,52,52
03/07,48,48
04/07,25,25
05/07,12,12
06/07,11,11
07/07,9,9
08/07,6,6
09/07,6,15
10/07,5,14
11/07,6,12
12/07,10,13
13/07,12,20
14/07,12,24
15/07,16,25
16/07,18,34
17/07,19,36
18/07,21,39
19/07,22,43
20/07,23,44
21/07,22,44
22/07,19,42
23/07,20,37
24/07,24,37
25/07,18,44
26/07,23,34
27/07,26,41
28/07,26,46
29/07,22,47
30/07,24,39
31/07,20,42
01/08,14,34
02/08,9,25
03/08,9,16
04/08,7,15
05/08,6,13
06/08,7,11
07/08,20,13
08/08,21,35
09/08,36,35
10/08,42,61
11/08,43,71
12/08,47,72
13/08,49,79
14/08,91,82
15/08,93,152
16/08,114,155
17/08,102,188
18/08,118,168
19/08,69,194
20/08,88,113
21/08,68,144
22/08,110,111
23/08,123,178
24/08,170,195
25/08,201,263
26/08,197,308
27/08,226,300
28/08,193,339
29/08,160,285
30/08,,424
31/08,,632
01/09,,944
02/09,,1406
03/09,,2084
04/09,,3057
05/09,,4411
06/09,,6202
07/09,,8413
08/09,,10900
09/09,,13387
10/09,,15551
11/09,,17191
12/09,,18305
13/09,,19021
