Date,Real,Predict
29/06,1,1
30/06,1,1
01/07,1,1
02/07,1,1
03/07,1,1
04/07,2,2
05/07,3,3
06/07,4,4
07/07,5,5
08/07,5,5
09/07,5,5
10/07,5,5
11/07,5,5
12/07,6,5
13/07,7,6
14/07,8,7
15/07,9,8
16/07,10,9
17/07,11,10
18/07,12,11
19/07,13,12
20/07,14,13
21/07,15,14
22/07,16,15
23/07,19,16
24/07,23,19
25/07,24,23
26/07,27,24
27/07,28,27
28/07,35,28
29/07,41,35
30/07,48,41
31/07,49,48
01/08,66,49
02/08,77,66
03/08,85,77
04/08,87,85
05/08,97,87
06/08,102,97
07/08,108,102
08/08,115,108
09/08,122,115
10/08,127,122
11/08,131,127
12/08,148,131
13/08,151,148
14/08,168,151
15/08,178,168
16/08,181,178
17/08,195,181
18/08,196,195
19/08,218,196
20/08,229,218
21/08,239,229
22/08,242,239
23/08,253,242
24/08,260,253
25/08,270,260
26/08,272,270
27/08,291,272
28/08,307,291
29/08,319,307
30/08,342,319
31/08,378,342
01/09,401,342
02/09,432,343
03/09,437,343
04/09,454,344
05/09,464,344
06/09,,344
07/09,,345
08/09,,345
09/09,,345
10/09,,346
11/09,,346
12/09,,346
13/09,,347
14/09,,347
15/09,,347
