Date,Real,Predict
29/06,0,0
30/06,1,1
01/07,2,2
02/07,3,3
03/07,3,3
04/07,19,19
05/07,28,28
06/07,28,28
07/07,28,28
08/07,28,28
09/07,28,62
10/07,29,62
11/07,32,65
12/07,37,72
13/07,37,85
14/07,42,85
15/07,93,95
16/07,96,147
17/07,96,154
18/07,100,155
19/07,104,163
20/07,111,171
21/07,121,181
22/07,137,192
23/07,173,210
24/07,207,246
25/07,210,281
26/07,225,284
27/07,242,301
28/07,287,320
29/07,318,362
30/07,342,391
31/07,414,414
01/08,464,483
02/08,518,530
03/08,561,582
04/08,606,623
05/08,650,665
06/08,661,707
07/08,670,718
08/08,682,726
09/08,688,738
10/08,766,744
11/08,772,818
12/08,849,824
13/08,865,900
14/08,936,916
15/08,973,983
16/08,1030,1020
17/08,1050,1074
18/08,1142,1093
19/08,1191,1183
20/08,1244,1231
21/08,1309,1283
22/08,1359,1346
23/08,1377,1398
24/08,1448,1417
25/08,1506,1489
26/08,1568,1550
27/08,1644,1611
28/08,1671,1691
29/08,1692,1719
30/08,1721,1741
31/08,1790,1772
01/09,1832,1811
02/09,1916,1841
03/09,1991,1863
04/09,2076,1880
05/09,2245,1893
06/09,,1904
07/09,,1912
08/09,,1919
09/09,,1925
10/09,,1931
11/09,,1936
12/09,,1943
13/09,,1955
14/09,,1972
15/09,,1995
